UBIGEO,"PROVINCIA
",HABIT_EN_POBREZA,HOGARES_INTERNET,CASOS_DEFENSORIAMUNI,RET_SEC,ALUM_MATRIC_SEC
210800,MELGAR,31459.3548462,610,2 604,"2,1",7 586
210900,MOHO,12992.3356017,46,221,"1,8",1 779
211000,SAN ANTONIO DE PUTINA,12517.63811444,201,370,"1,4",2 915
211100,SAN ROMÁN,75478.53725557,14 659,2 276,"1,5",30 827
211200,SANDIA,21805.99671096,32,493,"3,6",4 850
211300,YUNGUYO,18095.3899168,343,344,"2,5",3 301
220100,MOYOBAMBA,32254.77760554,5 176,1 257,"2,8",11 751
220200,BELLAVISTA,20473.38894075,1 351,524,"3,5",5 052
220300,EL DORADO,15620.33080236,451,1 194,"2,4",3 114
220400,HUALLAGA,7211.16527183,258,170,"4,1",2 579
220500,LAMAS,28070.151579,1 333,474,"2,5",6 941
220600,MARISCAL CÁCERES,18234.23512218,2 361,366,"3,1",5 990
220700,PICOTA,15658.11656977,569,436,"3,5",3 806
220800,RIOJA,44572.28713575,3 347,671,"3,8",11 628
220900,SAN MARTÍN,33117.07496409,15 849,1 911,"1,9",14 947
221000,TOCACHE,17670.15105564,1 592,336,"3,2",6 901
230100,TACNA,51707.4119166,29 892,5 336,"0,8",25 879
230200,CANDARAVE,1966.43091368,46,113,"0,9",332.0
230300,JORGE BASADRE,877.27423365,583,234,"0,5",798.0
230400,TARATA,2494.3174767,56,110,"1,5",339.0
240100,TUMBES,17583.4358247,10 058,572,"2,6",13 029
240200,CONTRALMIRANTE VILLAR,2401.61089879,930,127,"1,0",1 518
240300,ZARUMILLA,5063.5546845,2 281,180,"2,6",4 142
250100,CORONEL PORTILLO,45296.26184236,17 965,10 960,"3,8",33 679
250200,ATALAYA,23005.85307076,402,303,"3,5",4 159
250300,PADRE ABAD,8371.07154224,787,1 254,"4,8",5 518
250400,PURÚS,1595.45904986,3,3,"7,2",333.0
